"PKPostId","word","SymbolFK","score","Position"
"gueb95a","lost","NA",-3,"1"
"gueb95a","happy","NA",3,"2"
"gueb95a","sad","NA",-2,"3"
"gueds0f","god","NA",1,"1"
"gueds0f","love","NA",3,"2"
"gueds0f","advantage","NA",2,"3"
"gueds0f","fortunate","NA",2,"4"
"gueea07","sweet","NA",2,"1"
"gueea07","fun","NA",4,"2"
"guew0lx","love","NA",3,"1"
"guew0lx","bitch","NA",-5,"2"
"guew0lx","cry","NA",-1,"3"
"guew0lx","killed","NA",-3,"4"
"guew0lx","care","NA",2,"5"
"guew0lx","poor","NA",-2,"6"
"gugo8xs","laughing","NA",1,"1"
"gugo8xs","hard","NA",-1,"2"
"gugo8xs","joke","NA",2,"3"
"gvrlk3r","share","NA",1,"1"
"gvrlk3r","blockbuster","NA",3,"2"
"gvrllwv","share","NA",1,"1"
"gvrllwv","blockbuster","NA",3,"2"
"gvrlpn5","share","NA",1,"1"
"gvrlpn5","blockbuster","NA",3,"2"
"gvrlpn5","share","NA",1,"3"
"gvrlspz","share","NA",1,"1"
"gvrlspz","blockbuster","NA",3,"2"
"gvrlspz","share","NA",1,"3"
"gvrlsuv","share","NA",1,"1"
"gvrlsuv","blockbuster","NA",3,"2"
"gvrlt8z","share","NA",1,"1"
"gvrlt8z","blockbuster","NA",3,"2"
"gvrm5yg","share","NA",1,"1"
"gvrm5yg","blockbuster","NA",3,"2"
"gvrm5yg","share","NA",1,"3"
"gvrm5yg","lol","NA",3,"4"
"gvrm6y1","share","NA",1,"1"
"gvrm6y1","blockbuster","NA",3,"2"
"gvrm6y1","lucky","NA",3,"3"
"gvrmqw4","share","NA",1,"1"
"gvrmqw4","blockbuster","NA",3,"2"
"gvrmqw4","tits","NA",-2,"3"
"gvrmumr","share","NA",1,"1"
"gvrmumr","blockbuster","NA",3,"2"
"gvrmumr","lmao","NA",4,"3"
"gvrmumr","bad","NA",-3,"4"
"gvrmumr","lol","NA",3,"5"
"gvrmumr","free","NA",1,"6"
"gvrmww8","share","NA",1,"1"
"gvrmww8","blockbuster","NA",3,"2"
"gvrmxct","share","NA",1,"1"
"gvrmxct","blockbuster","NA",3,"2"
"gvrmxct","share","NA",1,"3"
"gvrn2rs","share","NA",1,"1"
"gvrn2rs","blockbuster","NA",3,"2"
"gvrn36z","share","NA",1,"1"
"gvrn36z","blockbuster","NA",3,"2"
"gvrn36z","lucky","NA",3,"3"
"gvrn52e","share","NA",1,"1"
"gvrn52e","blockbuster","NA",3,"2"
"gvrn52e","demand","NA",-1,"3"
"gvrn6s9","share","NA",1,"1"
"gvrn6s9","blockbuster","NA",3,"2"
"gvrn6s9","share","NA",1,"3"
"gvrn91m","share","NA",1,"1"
"gvrn91m","blockbuster","NA",3,"2"
"gvrn91m","lol","NA",3,"3"
