"topic","term","beta"
1,"mvis",0.0709526063217063
1,"week",0.0273522785164723
1,"people",0.0199011488451556
1,"wallstreetbets",0.0187175590799777
1,"day",0.0182597055413752
1,"flair",0.0174116825468386
1,"lidar",0.0174116727032495
1,"search",0.0158559966668791
1,"sort",0.015235222439411
1,"restrict_sr",0.0147999301648129
2,"amd",0.0236266607018772
2,"hold",0.0191547175755147
2,"earnings",0.0185640143174295
2,"buy",0.0141664078540661
2,"buyout",0.0137147654674224
2,"stock",0.0115765154933392
2,"calls",0.0100239564689065
2,"call",0.0099749599543
2,"sell",0.00958945788968973
2,"ape",0.00935126188481834
3,"ž",0.0553431474958482
3,"money",0.0160590711716215
3,"hedge",0.0157575160963507
3,"funds",0.0127120310823477
3,"lose",0.0120502474358739
3,"times",0.0098672894316377
3,"portfolio",0.00854689999557768
3,"run",0.00845764246234108
3,"yolo",0.00824824908263042
3,"gt",0.00821669495125204
4,"holy",0.0183813686134053
4,"cmbs",0.0167474689891843
4,"market",0.014269455465684
4,"moly",0.0126627206003459
4,"stock",0.0120687103967341
4,"recommendations",0.00980339659381619
4,"price",0.00922681551463553
4,"read",0.00905204227999883
4,"short",0.0088064217767667
4,"imgur.com",0.00816949716151349
4,"ladder",0.00816949716151349
5,"shares",0.0341689863253837
5,"days",0.0227754899956707
5,"message",0.0151890276127267
5,"sell",0.0134023966616368
5,"price",0.0127255874174035
5,"calls",0.0120990367629616
5,"share",0.0106657471773022
5,"ago",0.0091672630754387
5,"post",0.00900106769427067
5,"account",0.00822392840066626
6,"gme",0.0334853078209669
6,"holding",0.0288036059004207
6,"fuck",0.028383572728643
6,"amc",0.0177827694322442
6,"shares",0.0175220951701118
6,"stock",0.0143389939457466
6,"congrats",0.0134454867418098
6,"buy",0.0127144008209432
6,"wave",0.0117106044052642
6,"calls",0.0102447172020299
7,"stock",0.0175411694099541
7,"blackberry",0.0163533314414752
7,"vehicle",0.0157894234607347
7,"price",0.0157509148497784
7,"time",0.0134395674100174
7,"data",0.0134053365990263
7,"bb",0.0112781596148105
7,"ivy",0.0112781596148105
7,"ll",0.00997065617063336
7,"automakers",0.00902252778562598
8,"company",0.0307280768821355
8,"companies",0.0128437966220372
8,"seltzer",0.0122639289021932
8,"shares",0.0115194748606993
8,"coors",0.0112828145900178
8,"tilray",0.0107922574339301
8,"beer",0.00883002880957619
8,"market",0.00787800628386176
8,"stock",0.00703911814258658
8,"coming",0.00686780019698042
9,"bought",0.0384359319196854
9,"nice",0.0190356683516666
9,"fucking",0.0154742867538527
9,"don",0.0150793635487944
9,"options",0.0125259215481924
9,"earnings",0.010536410493176
9,"tomorrow",0.0102104218874485
9,"stock",0.00910512468335082
9,"sold",0.00883528256980986
9,"friday",0.00874283209202712
10,"lol",0.0370495886534286
10,"moon",0.0199913454028927
10,"buying",0.013793050176838
10,"gonna",0.013785389470795
10,"buy",0.0132645413172773
10,"shares",0.0120550250617157
10,"im",0.00944877833145977
10,"guy",0.00865162580176504
10,"wait",0.00864463868683504
10,"lmao",0.00763388097815078
